m,b
0.1512590110,0.2309274551
0.7958012625,1.2431216177
0.6964277320,1.0328837340
0.9097333386,1.1799163366
0.6176172001,0.6025074211
0.4937888850,1.0979608294
0.6048529971,1.1235688870
0.7272725543,0.5786090885
0.7076626721,0.2590271455
0.6500315258,0.5273478340
0.7938829178,1.0719357723
0.7567027739,0.9592279533
0.7675092864,0.0908348492
0.9124306949,1.0313935683
0.6561080423,0.8540005538
0.6611636434,0.6927309164
-0.0979987170,0.0238339275
-0.1266425056,0.0823211401
-0.0497672599,-0.3789716390
0.7314455646,0.1017817754
0.2382459556,-0.2701951401
0.0536106143,-0.4259346869
0.1767555788,0.4605254284
0.1577593984,0.4838666692
0.8922176927,1.1848843883
1.0000625528,1.4616452978
0.8643279684,1.6654793762
0.8581542824,0.8037139495
0.6788576286,0.4208270724
0.9020947791,0.7745919928
0.9279305371,0.8121201507
0.8883569870,0.9458933724
0.9052219655,1.3618115184
0.8940483130,1.1894163291
0.9529215047,0.9872575088
0.7905865154,0.7528276460
0.8460445330,0.8401369329
0.9357417389,1.0237487217
0.8974139782,0.7216369785
0.9609590692,1.3205176373
0.9619247299,0.9605479005
1.0035159556,0.8416279086
0.8961865900,0.6981547674
0.9265085627,1.1756441889
0.8646005066,0.9887330702
0.8089475885,0.8479843003
0.2886752732,0.7547067209
0.3596616048,0.2426936330
0.3844508785,0.8426656330
0.5137500846,0.8071500424
-0.9295290625,-0.8033294746
0.0509697140,-0.6317849235
-0.7533778719,-0.4369402430
-0.5713059750,-0.6134670450
-0.6167701466,-0.9795027682
-0.6184607980,-0.9683020324
-0.8634844242,-1.3200516366
-0.7170760675,-0.3935579016
-0.3833679615,0.0109808977
-0.3030565925,-0.4993692459
-1.0494874442,-0.6868479539
-0.8830433622,-0.5450471951
-0.8205626483,-0.6460895331
-1.0059488599,-0.8269608521
-0.9752147369,-0.6299612975
-0.8794938860,-1.1401599022
-0.7666358081,-0.7867366641
-1.0067513900,-1.2200243538
-1.0086241380,-0.5507691573
-0.9606694950,-0.7766929087
-0.1749755672,-0.6266170392
-0.3235993120,-0.9646980099
-0.3314087448,-0.0977673451
-0.3431193990,-0.0969865927
-0.2829123015,-0.0201161459
-0.2539681425,0.2301452778
-0.4546607700,-0.4457479421
-0.5750190151,-0.2453715094
-0.6696739577,-0.3207252074
-0.5772624546,-0.5913774110
-0.5694076176,-0.8252846581
-0.4679330639,-0.7243397050
-0.6764338633,-0.1849565748
-0.2407055684,-0.4867214662
-0.3333033701,-0.3585150922
-0.5587596921,-0.0826935876
-0.5146944032,-0.9685558912
-0.2661891804,0.0827312381
-0.2619710045,-0.7549426399
0.1582430786,0.1910090898
0.0559641093,-0.0073372694
0.0809577173,0.5106399759
-0.0761883572,0.1083671266
0.1106655819,-0.1529402880
0.5618919628,0.8120112942
0.6203916325,0.6795657622
0.3452846171,0.3466343102
0.5574682565,0.4385068651
-0.6288534791,-0.4403090532
-0.5620076538,-0.7497359829
-0.6299635987,-0.1453025097
-0.5870368282,-0.6628899980
-0.5203417115,-0.8029697546
-0.5605283881,-0.6051793598
-0.5719765814,-0.8405711465
-0.7102913617,-0.5624045245
-0.6401133553,-0.7089384466
-0.6306109464,-0.5819648897
-0.4553636431,-1.0750695893
-0.5252257279,-0.4894350169
-0.5727376183,-0.5752033453
-0.6858704288,-0.9583237253
-0.5287299068,-1.3756833006
-0.5626001511,-0.2637184517
-0.6356112422,-1.0941229071
-0.5519011244,-0.9387437441
-0.6022984089,-0.6879788164
-0.7478141457,-1.7447815762
-0.6584920097,-1.0572199469
-0.7400271827,-0.7794062489
-0.4002456088,-1.2053878356
-0.9988559878,-1.1479598590
0.3316042137,0.4471095692
0.3222208193,0.2245465632
0.3146168466,-0.4347998923
0.4109118821,0.2988938971
0.1523148146,0.6959838698
0.4107346972,0.3099129361
0.4838754259,0.0928917528
0.3741040330,0.5910807015
0.3685368880,0.3822997719
0.4531868462,0.5682924310
0.4683820371,0.5148871235
0.2817359171,0.7714747678
0.3877219596,0.9721583088
